dataset,protocol,model,model_family,source,tuned_weights,precision@10,recall@10,ndcg@10,mrr@10,precision@20,recall@20,ndcg@20,mrr@20,rmse,mae,best_epoch,artifact_dir,command,seed
ml-latest-small,per_user_temporal_80_10_10_pos4_full,svd-pytorch,svd,pytorch_svd,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0054964539007092,0.0083743849017182,0.0072099608140599,0.0150526286164584,,,,,0.8921972513198853,0.6838202476501465,2.0,artifacts/recommender/ml-latest-small/svd,,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-recbolelightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.3181818181818181, ""popularity"": 0.18181818181818182}",0.009195402298850575,0.033970078452837074,0.02593016446635522,0.038328772121875576,,,,,1.740047574043274,,,artifacts/recommender/letterboxd-full/hybrid-recbolelightgcn-tfidf,scripts/tune_hybrid.py --data-dir data/letterboxd-full --cf-artifact-dir artifacts/recommender/letterboxd-full/recbole-lightgcn,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,svd-pytorch,svd,pytorch_svd,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.009425287356321841,0.03369557645419714,0.02413361425407942,0.03344736361977741,,,,,0.7890205979347229,0.6130781173706055,2,artifacts/recommender/letterboxd-full/svd,,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-lightgcn-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.3666666666666667, ""popularity"": 0.13333333333333333}",0.00781609195402299,0.03348841452289728,0.02391205695754929,0.032112753147235905,,,,,1.5272088050842285,,,artifacts/recommender/letterboxd-full/hybrid-lightgcn-tfidf,scripts/tune_hybrid.py --data-dir data/letterboxd-full --cf-artifact-dir artifacts/recommender/letterboxd-full/lightgcn,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,lightgcn-pytorch,lightgcn,pytorch_lightgcn,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.010344827586206896,0.028767560664112388,0.02319415813944322,0.03708721036307243,,,,,,,43,artifacts/recommender/letterboxd-full/lightgcn,,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-LightGCN,lightgcn,recbole,{},0.0108,0.031,0.0221,0.0329,0.0087,0.0467,0.0283,0.0358,,,,artifacts/recommender/letterboxd-full/recbole-lightgcn,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-svd-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.39999999999999997, ""content"": 0.3333333333333333, ""popularity"": 0.26666666666666666}",0.00735632183908046,0.03902124695228143,0.02191123137688706,0.019797482211275315,,,,,0.7832956314086914,,,artifacts/recommender/letterboxd-full/hybrid-svd-tfidf,scripts/tune_hybrid.py --data-dir data/letterboxd-full --cf-artifact-dir artifacts/recommender/letterboxd-full/svd,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-pytorch-svd-tfidf,svd,runtime_fit,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.00735632183908046,0.04097526994078718,0.02171540937987829,0.01743659916073709,,,,,0.7831368446350098,,,artifacts/recommender/letterboxd-full/baseline,,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-bpr-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.6842105263157895, ""content"": 0.2631578947368421, ""popularity"": 0.05263157894736842}",0.008505747126436782,0.028137201240649515,0.021593103579572975,0.031360153256704985,,,,,1.8431804180145264,,,artifacts/recommender/letterboxd-full/hybrid-bpr-tfidf,scripts/tune_hybrid.py --data-dir data/letterboxd-full --cf-artifact-dir artifacts/recommender/letterboxd-full/recbole-bpr,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,hybrid-twotower-tfidf,hybrid,tuned_hybrid,"{""collaborative"": 0.5, ""content"": 0.25, ""popularity"": 0.25}",0.007126436781609196,0.028071519795657723,0.018458293779098543,0.02121510673234811,,,,,1.6981083154678345,,,artifacts/recommender/letterboxd-full/hybrid-twotower-tfidf,scripts/tune_hybrid.py --data-dir data/letterboxd-full --cf-artifact-dir artifacts/recommender/letterboxd-full/two-tower,42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-BPR,bpr,recbole,{},0.0087,0.0262,0.0184,0.0243,0.0079,0.0476,0.0258,0.0277,,,,artifacts/recommender/letterboxd-full/recbole-bpr,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-ItemKNN,itemknn,recbole,{},0.0067,0.023,0.0143,0.0212,0.0059,0.0346,0.0189,0.0233,,,,,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,recbole-Pop,pop,recbole,{},0.0071,0.0207,0.0124,0.017,0.0067,0.0381,0.0187,0.0198,,,,,"scripts/benchmark_recbole.py --data-dir data/letterboxd-full --dataset-name letterboxd-full --models Pop,ItemKNN,BPR,LightGCN --top-k 10 20",42
letterboxd-full,per_user_temporal_80_10_10_pos4_full,two-tower-tfidf,two_tower,pytorch_two_tower,"{""collaborative"": 0.55, ""content"": 0.35, ""popularity"": 0.1}",0.0025287356321839084,0.00553639846743295,0.003779901207639854,0.006675789089582193,,,,,,,14,artifacts/recommender/letterboxd-full/two-tower,,42
